id,name,definition
88365,BENEFIT_HEALTH,Employer's cost for health insurance
20225,BENEFIT_HEALTH_PY,Employer's cost for health insurance  Prior Year
60654,BENEFIT_OTH,Employer's Cost for other benefits
20228,BENEFIT_OTH_PY,Employer's Cost for other benefits   Prior Year
60665,BENEFIT_PENSION_BEN,Employer's Cost for defined benefit pension plans
20230,BENEFIT_PENSION_BEN_PY,Employer's Cost for defined benefit pension plans  Prior Year
88382,BENEFIT_PENSION_CON,Employer's Cost for defined contribution pension plans
20232,BENEFIT_PENSION_CON_PY,Employer's Cost for defined contribution pension plans  Prior Year
64071,COST_CONTRACT,Contract work done for you by others
64119,COST_MAT_TOT,"Cost of Materials,  Total"
65751,ELEC_GEN_KWH,Quantity of generated electricity
90216,ELEC_PRCH_KWH,Quantity of purchased electricity
65777,ELEC_SOLD_KWH,Quantity of electricity sold or transferred to other domestic reporting units
13826,EMP_AVG_PRDWRK_PY,Average number of annual production workers at this establishment   Prior Year
14846,HOURS_TOT_M_PY,"Production Worker Hours,  Total Prior Year"
94812,PRCH_ADVERT,Purchased advertisments
79638,PRCH_COMPUTER_OTHEQ,Expensed computer hardware and other equipment
79650,PRCH_DATAPROC,Data processing and other purchased computer services
94844,PRCH_EXSOFT,"Purchased prepackaged, custom-coded or vendor-customized software"
79688,PRCH_OTHEXPS_WRTIN,"All other purchased services, write-in description"
79698,PRCH_PROFTECH,Purchased professional and technical services
79711,PRCH_REFUSE,"Water, sewer, refuse removal, and other non-electric utility payments"
79723,PRCH_REPAIR,Purchased repairs and maintenance to buildings and/or machinery and equipment
94870,PRCH_TAX,Governmental taxes and licensing fees
79749,PRCH_TEMPSTAF,Purchased services for temporary staff and leased employees  (Professional Employer Organizations and staffing agencies for personnel)
79761,PRCH_TOT,Total Purchased Services
14646,RCPT_TRANSFER_PY,Value of products shipped to other domestic plants of your company for further processing  Prior Year
83675,REPORTING_EXAMPLE_14,Awaiting Update
62097,CITY,City
72335,NAME1,Company Name
72337,NAME2,Company Secondary Name
85564,STREET,Street
20233,BENEFIT_PY,"Fringe Benefits, Total  Prior Year"
14725,CAPEX_BUILD_PY,"Capital Expenditures, New and Used Buildings  Prior Year"
14727,CAPEX_MACH_AUTO,"Capital Expenditures, Automobiles"
14728,CAPEX_MACH_AUTO_PY,"Capital Expenditures, Automobiles Prior Year"
14729,CAPEX_MACH_COMP,"Capital Expenditures, Computers"
14730,CAPEX_MACH_COMP_PY,"Capital Expenditures, Computers Prior Year"
14731,CAPEX_MACH_OTH,"Capital Expenditures, Others"
14732,CAPEX_MACH_OTH_PY,"Capital Expenditures, Others Prior Year"
14749,CAPEX_TOT_PY,"Capital Expenditures, New and Used Buildings and Machinery Total  Prior Year"
14271,COST_CONTRACT_PY,Contract work done for you by others  Prior Year
14321,COST_ELEC_PY,Purchased electricity  Prior Year
14173,COST_FUEL_PY,"Purchased fuels consumed for heat, power, or the generation of electricity,  Prior Year"
14176,COST_MAT_PARTS_PY,"Materials, parts, containers, packaging, supplies, etc. used for manufacturing processes, repairs, services for others, or other operating supplies   Prior Year"
14179,COST_MAT_TOT_PY,"Cost of Materials,  Total Prior Year"
14210,COST_RESALE_PY,Products bought and sold as such without further processing  Prior Year
20462,ELEC_GEN_KWH_PY,Quantity of generated electricity  Prior year
20464,ELEC_PRCH_KWH_PY,Quantity of purchased electricity  Prior Year
20466,ELEC_SOLD_KWH_PY,Quantity of electricity sold or transferred to other domestic reporting units  Prior Year
13869,EMP_DEC12_PRDWRK_PY,"Fourth Quarter Employment,  Production Workers  Prior Year"
13853,EMP_JUN12_PRDWRK_PY,"Second Quarter Employment,  Production Workers  Prior Year"
13842,EMP_MAR12_OTHWRK_M_PY,"First  Quarter Employment,  Other Manufacturing Employees  Prior Year"
13845,EMP_MAR12_PRDWRK_PY,"First  Quarter Employment,  Production Workers  Prior Year"
13861,EMP_SEP12_PRDWRK_PY,"Third Quarter Employment,  Production Workers  Prior Year"
13874,EMP_SUM_AVGOTH_PY,Manufacturing:  Sum of Average Annual Production Workers and Other non production employees   Prior Year
13879,EMP_SUM_PRDWRK_PY,Manufacturing:  Sum of Production Workers Prior Year
13621,INV_VAL_AVG_BGN,"Inventories by Valuation Method, Average Cost, Beginning of Year"
13623,INV_VAL_AVG_END,"Inventories by Valuation Method, Average Cost, End of Year"
